"standard"	"formula"	"known_mass"	"qc.15"	"qc.16"	"qc.17"	"qc.18"	"qc.19"	"qc.20"	"qc.21"	"qc.22"	"qc.23"	"qc.24"	"qc.15_ppm"	"qc.16_ppm"	"qc.17_ppm"	"qc.18_ppm"	"qc.19_ppm"	"qc.20_ppm"	"qc.21_ppm"	"qc.22_ppm"	"qc.23_ppm"	"qc.24_ppm"	"avg_ppm"	"var_pm"	"n"
"N-methylacetamide"	"C3H7NO"	74.06004	74.1536	74.1505	74.1504	74.1572	74.1612	74.1685	74.1582	74.1573	74.1565	74.1612	1263.2993446938	1221.44141429026	1220.09115847094	1311.90855419471	1365.91878697329	1464.48746179443	1325.41111238926	1313.25881001422	1302.45676345831	1365.91878697329	1315.41921932525	1927946.62032942	10
"1,3-naphthalenediol"	"C10H8O2"	161.059706	160.744	160.7395	160.7374	160.719	160.742	160.7557	160.7507	160.7441	160.7542	160.731	1960.17990992735	1988.11985910376	2001.15850205263	2115.40184979607	1972.59766511691	1887.53604206887	1918.58043004258	1959.55902216786	1896.84935846094	2040.8953186591	1974.08779573961	4334725.96297306	10
"7-amino-4-methylcoumarin"	"C10H9NO2"	176.070605	175.7325	175.729	175.7365	175.7369	175.733	175.7346	175.7417	175.7388	175.733	175.7412	1920.28078735808	1940.15917648484	1897.56262835579	1895.29081245566	1917.44101748271	1908.35375388186	1868.02902165294	1884.49968692959	1917.44101748271	1870.86879152831	1901.99266936125	4020062.53517794	10
"2-Phenylindole"	"C14H11N"	194.096425	193.7738	193.7682	193.772	193.7713	193.7653	193.7786	193.7682	193.7596	193.7786	193.7707	1662.18929586166	1691.04093493738	1671.46303699318	1675.06949187763	1705.98196231597	1637.4593195109	1691.04093493738	1735.34880923234	1637.4593195109	1678.16073892142	1678.52138440988	3131370.8984904	10
"chlorogenic acid"	"C16H18O9"	355.102361	355.0242	355.0127	355.0161	355.0115	355.0299	355.0177	355.0164	355.0102	355.017	355.0168	220.108364753919	252.493393024718	242.918689014233	255.872700322489	204.056655089307	238.412945950485	242.073862189831	259.533616561834	240.384208540865	240.947426423854	239.680186187154	64106.4964643093	10
"cortisone"	"C21H28O5"	361.200951	361.136	361.1382	361.1448	361.1339	361.1348	361.1422	361.1507	361.1439	361.1342	361.1297	179.819570851437	173.728778471548	155.456401331567	185.633509032462	183.141821240639	162.654610507857	139.122003585209	157.94808912339	184.802946435082	197.261385394196	171.956911597339	33167.4913162108	10
