Sample,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V251,V252,V253,V254,V255,V256,V257,V258,V259,V260,V261,V262,V263,V264,V265,V266,V267,V268,V269,V270,V271,V272,V273,V274,V275,V276,V277,V278,V279,V280,V281,V282,V283,V284,V285,V286,V287,V288,V289,V290,V291,V292,V293,V294,V295,V296,V297,V298,V299,V300,V301,V302,V303,V304,V305,V306,V307,V308,V309,V310,V311,V312,V313,V314,V315,V316,V317,V318,V319,V320,V321,V322,V323,V324,V325,V326,V327,V328,V329,V330,V331,V332,V333,V334,V335,V336,V337,V338,V339,V340,V341,V342,V343,V344,V345,V346,V347,V348,V349,V350,V351,V352,V353,V354,V355,V356,V357,V358,V359,V360,V361,V362,V363,V364,V365,V366,V367,V368,V369,V370,V371,V372,V373,V374,V375,V376,V377,V378,V379,V380,V381,V382,V383,V384,V385,V386,V387,V388,V389,V390,V391,V392,V393,V394,V395,V396,V397,V398,V399,V400,V401,V402,V403,V404,V405,V406,V407,V408,V409,V410,V411,V412,V413,V414,V415,V416,V417,V418,V419,V420,V421,V422,V423,V424,V425,V426,V427,V428,V429,V430,V431,V432,V433,V434,V435,V436,V437,V438,V439,V440,V441,V442,V443,V444,V445,V446,V447,V448,V449,V450,V451,V452,V453,V454,V455,V456,V457,V458,V459,V460,V461,V462,V463,V464,V465,V466,V467,V468,V469,V470,V471,V472,V473,V474,V475,V476,V477,V478,V479,V480,V481,V482,V483,V484,V485,V486,V487,V488,V489,V490,V491,V492,V493,V494,V495,V496,V497,V498,V499,V500,V501,V502,V503,V504,V505,V506,V507,V508,V509,V510,V511,V512,V513,V514,V515,V516,V517,V518,V519,V520,V521,V522,V523,V524,V525,V526,V527,V528,V529,V530,V531,V532,V533,V534,V535,V536,V537,V538,V539,V540,V541,V542,V543,V544,V545,V546,V547,V548,V549,V550,V551,V552,V553,V554,V555,V556,V557,V558,V559,V560,V561,V562,V563,V564,V565,V566,V567,V568,V569,V570,V571,V572,V573,V574,V575,V576,V577,V578,V579,V580,V581,V582,V583,V584,V585,V586,V587,V588,V589,V590,V591,V592,V593,V594,V595,V596,V597,V598,V599,V600,V601,V602,V603,V604,V605,V606,V607,V608,V609,V610,V611,V612,V613,V614,V615,V616,V617,V618,V619,V620,V621,V622,V623,V624,V625,V626,V627,V628,V629,V630,V631,V632,V633,V634,V635,V636,V637,V638,V639,V640,V641,V642,V643,V644,V645,V646,V647,V648,V649,V650,V651,V652,V653,V654,V655,V656,V657,V658,V659,V660,V661,V662,V663,V664,V665,V666,V667,V668,V669,V670,V671,V672,V673,V674,V675,V676,V677,V678,V679,V680,V681,V682,V683,V684,V685,V686,V687,V688,V689,V690,V691,V692,V693,V694,V695,V696,V697,V698,V699,V700,V701,V702,V703,V704,V705,V706,V707,V708,V709,V710,V711,V712,V713,V714,V715,V716,V717,V718,V719,V720,V721,V722,V723,V724,V725,V726,V727,V728,V729,V730,V731,V732,V733,V734,V735,V736,V737,V738,V739,V740,V741,V742,V743,V744,V745,V746,V747,V748,V749,V750,V751,V752,V753,V754,V755,V756,V757,V758,V759,V760,V761,V762,V763,V764,V765,V766,V767,V768,V769,V770,V771,V772,V773,V774,V775,V776,V777
Control 1,38759740.7,3770710.848,5966493.466,1535426.278,22130296.23,17839896.48,20061079.83,219562388.2,6923180.535,13571892.52,108628969.8,1051553.35,19231752.98,1354866.405,33923777.77,11104646.41,558212866.9,321836.6717,6931807.837,1217236.436,66417272.42,2372361.408,3138012.226,16835794.7,7590021.847,31976.56601,6786637.218,2567593.437,10388039.9,147122.6307,6383930.591,2725080.855,2228976.235,1770337.134,2036717.866,24010195.41,20176089.32,1328978.621,6647222.995,25210477.55,4095256.34,21808353.16,2141551.083,5355854.666,3743688.306,29622661.02,4592189.525,18607177.96,1727357.473,41527.18835,849051.0748,2431664.278,433121.094,1736817.227,4174600.67,426284211.9,4791112.593,28653159.79,23445768.07,5222485.494,12722919.4,3114864.817,109485919,15241633.4,15098845.02,4043719.369,4860774.166,21533138.13,167818977.6,7080156.291,17853952.35,1239007.723,10851706.43,1413836.215,11555616.65,5748496.762,2521503.171,17919728.51,85061921.09,6976956.724,790931.774,21140907.76,47687823.38,25449529.33,7808833.895,31739245.91,1459862.724,16313430.63,26385288.07,25741315.14,9453627.149,7112213.035,1537840.106,518454153.4,4806134.84,1090532.092,5038303.983,878460.9057,172662664,5312252.581,956733.4719,14559857.13,1797512.477,16116369.88,16038885.38,110166680,3355868.664,10975921.66,11860996.78,88843610.06,8736640.425,2602066.091,4910642.945,6700763.781,139385260.2,19512174.03,1112647.275,7145419.356,16835675.86,14450510.65,3624901.265,11791674.71,4603542229,6634341.888,3804624.613,14545614.12,3759328.893,2232575.228,4628243.639,68108781.31,1963711.52,107770519.9,47809610.65,1855175.623,5165935.173,12864109.29,10595219.52,42691778.74,2316518.606,9399898.15,2616470.881,24643291.92,640903.5651,536714196.7,3012371.473,7720245.601,5362249.108,1460258.487,2083472.069,9277989.971,6171774.542,7212281.913,2489207.799,27278105.63,25537702.3,2053232.01,39777634.13,4704831.491,12798291.9,39678099.47,979070.5471,322401566.2,2543655.088,2023676.171,276165685.8,5182664.829,10384496.42,13159741.58,4980947.804,156664468.8,4602736.812,56905186.41,5335344.523,3229443.57,5064584.711,4205100.845,8897942.903,3153811.259,7680595.66,342783695.9,13165916.54,2761011.963,21163233.63,34592395.4,5360716.363,19163841.04,2682407.305,95356537.27,7088677.024,3705603.739,13703714.24,2639546.95,5588500.572,42984199.52,1812002.52,9288278.467,10684389.18,2113084.691,4280353.263,64869589.95,5879214.5,3791326.505,1764851.212,16954523.29,17847249.16,263545634.2,3284453.887,92657157.27,55124265.77,2094387.871,10690785.21,1818021.897,722891874.3,4164383.684,2799286.083,1175411007,4289629.269,144040179.8,1464465.78,1450236.8,8015467.28,3478567.087,20557797.06,1598633.896,183587495,29358591.38,11747428.85,7530656.274,4167926.556,15691295.28,89336805.68,3017331.202,2039284.369,25199249.46,2788695.591,6468988.92,50055305.34,25321279.54,26545092.24,1484126.231,291504375.4,9200887.077,177379403,2379050.636,24534111.61,26476820.36,6964208.519,20825507.97,260201534.5,66605761.04,1186868.32,148275061.5,28051037.39,7381284.617,63101811.57,3468316.423,3724078.967,13911998.59,2846257.531,171739904,9178700.209,8590997.208,14686124.39,479717.0314,1781920.686,2721423.325,20601155.9,2110210.3,233883529.3,26218606.95,11933443.87,3202388.132,50514609.19,1461230.581,40503594.12,2175567.331,869384.4386,3677546.584,61903201.64,17318352.05,936135.2605,2954433.335,2241507.794,4455780.457,4888499.476,3187267.76,938945.7594,12890838.82,280782480.2,3115023.947,28942817.06,282915572.7,3896171.18,1965408.686,8488096.022,3813732.808,64230946.17,8291026.037,294752739.4,45157811.87,10487009.7,26001660.79,710159.7931,6084654.681,4580146.84,4159298.561,3447487.482,2209810.89,9929731.616,17237463.74,61082193.73,7570533.834,2053801.92,15348986.13,6437226.499,25127648.98,4464375.106,2705309.241,32991879.86,89483085.68,17161624.94,19180091.65,3355846.299,35485893.37,2075171.585,1909092.111,6709207.492,6409914.219,250356677.3,30105569.43,73222466.85,538318271.5,2763092.398,50648045.77,3525169.832,8560369.846,3064067.586,51600743.37,5174275.957,9547558.784,3045468.365,16577008.1,15014054.96,1047086.076,2048384.766,13254945.29,54610924.5,19154743.59,2381193.352,6953203.821,63674460.52,34132259.98,1158029001,5856913.593,14653485.45,1817812.451,14976238.13,27622488.56,991803922.3,18675158.97,5502405.221,5843345.092,45787266.02,51449761.36,4535678.445,25900483.47,10094270.35,6224250.183,163653859.3,3243098240,179096642.4,4879784.486,1167210757,9766320.203,88650273.54,78959288.89,1903202.658,2184368.45,8907669.35,11177052.29,3030029.005,7163893.802,18629636.34,6691275.735,28968882.85,2416882.262,49444260.02,6499020.6,98034764.41,13495209.89,25087939.43,6305481.174,40451125.44,437225771.5,10988995.87,3038512.63,854006.1946,7060540.117,407564282.9,7920186.476,210581347.8,2460376.432,19658189.44,4859068106,120187005.2,29175682.69,13277011.43,26346155.28,4379415.769,1917263.944,6202470.266,6761886.597,3844200.316,2965599,13769258.05,6624111.472,1218419.543,6138607.946,9426431.908,6357556.142,1919936.024,99103100.56,41855959.54,10500101.52,59394912.06,1563629.99,8551816.989,2099657.589,1761812.941,4212052.124,19566685.96,59376102.2,68357938.62,1553145.727,6580368.374,15111533.42,7737219.936,1951464.018,7380786.797,32382017.76,492449560.5,141284621.3,3581722.56,5046292.121,10373732.55,1734410.796,1205584.692,17021339.85,749794.5906,344114626.6,194484292.1,29024826.83,1585844.212,27304979.72,5520003.591,1548446.805,8552201.143,60410664.11,1737476.495,11773956.61,2446112.168,116530820.6,2846726.219,7850270.539,2609794.324,7985102.842,1519571.395,861103.2995,99458462.45,41022075.42,1596117.976,1013348.367,7759909.618,17721737.85,6020395.496,1186408.413,3326870.244,34269887.26,236064973.1,4019023.164,960788303.8,8902233.315,1761747.91,9001337.721,697618634.4,3387989.856,40796040.9,26439833.39,2101509.533,255530856,22702128.57,8249703.165,12234779.58,144005112.9,52646130.91,4274595.488,106213573.9,4600828.848,12661595.99,60347389.76,13165355.17,3772703.715,2058828.824,1168903.289,3001066.741,206272883.6,2217277.922,7422748.555,3968757.436,99683505.76,1821428.296,11807476.81,405206275.6,14976840.46,44447566.7,16333871.6,26822301.36,1040405.506,15078985.16,2431148.27,3817753.461,7989038.919,10907348.31,102890572.7,5916846.743,6196078632,361569344.6,3506468.687,10421741.37,3465264.148,4501095.404,46435553.59,18399834.28,6355814845,232026710.7,5424663.588,4827512.696,3472899.245,7981106.678,25756237.27,5944792453,4592153.895,11439326.86,10537707.93,14457500.01,2907959.017,12233348.87,9651151.937,19247228.79,4673121.517,7229067.832,25975113.68,9460183.671,916119.0291,8791270.863,970919.0333,30299036.4,24020467.67,6699355.545,2402025.39,45218459.99,54566440.43,1515075.678,4640664.147,134002499.3,5650430.049,2482299.788,18542041.21,11107669.65,2182620.235,1691692.096,26618262.6,14019346.97,9685205.683,262645330.9,63561149.07,1800397.385,153429404.5,19398831.65,5420898.867,4591137.851,70262124.95,45121289.89,2426834.881,2206522.512,1900723.229,165375325.8,3111600.919,1184179.468,1483006.033,2126562.442,42649431.37,9184997.25,1487623.399,455853562.7,1357139.417,1619548.527,151689804.8,25251847.49,8667070.631,6873490.984,2392336429,38700352.98,4444071.915,192303942.9,24524621.79,9190791.242,853551.3827,7302307.094,12783547.98,41417984.87,1842196.08,3868615.057,54309628.49,3758887.775,0,8911214.724,3193004.383,8140706.906,36043347.92,10365181.13,24428512.64,13733277.87,1987065.226,8956425.446,28457752.08,23242817.82,30660152.74,18955105.17,2562057.934,1583009.727,15199814.67,10511587.58,6561737.779,5320350.168,2720976.632,932775.7779,12033448.71,1563116.596,3331795.282,9913580.573,27311545.76,153031814.2,16994107.27,151771319.1,700159303.9,30944426.83,2228500.954,12253853.25,3177586.367,693640811.4,1181713081,2436265.799,206970.7347,47627439,32897700.93,5458183.897,2456145.821,0,13332098.19,15355492.21,5405143.898,45586765.48,112087803.6,12332351.02,33888438.98,14288996.8,18449840.51,12944558.03,26229594.1,29745554.62,2616130.541,1239063080,1673361.314,10785606.77,31535856.18,1969646.359,2148354.021,11514366.7,30133142.02,59012748.57,103910402.4,5393174.069,736975532.5,3387445.404,13470950.23,22284570.27,11710678.35,11275621.63,136827043.5,71540241.7,981308.6029,6735146.005,12092317.16,14359175.22,19250420.2,3120907.318,3617725.824,3253468.637,2541540.366,2221841.029,9905354.46,13390001.74,3183292.496,4058861.296,15905067.22,242688908.6,22506260.97,6399500.918,16192295.28,38681237.93,93210551.99,8635233.338,1677250.763,17259068.36,2077008.85,18485977.15,2438518.314,10883621.5,3795329.242,4051806.424,3963693.401,2935071.984,1238107.519,18692545.21,20373158.48,38355277.7,91565961.34,9143817.393,3030777.705,6319899.715,28666324.31,13811498.8,2021990.563,367955.4735,3720603.399,35373902.11,2859054.684,2430990.427,9536636.234,14334350.9,5898172.583,2017513.108,388359907,11948263.82,1997218.353,48066544.17,2329791.599,42625497.7,2371181.017,303902174.9,4109289.251,38620802.88,1845134.011,1669842.87,1240005.606,12454217.3,3047135.879,4734112.695,45532764.06,1635373.087,23627705.72,4323740.63,17393817.87,17177147.38,11074386.23,15028015.21,4346358.244,56561411.95,1364131.195,3948967.709,58469405.29,6657766.585,5102141.732,22717062.88,12652367.57,1563224.841
Control 2,39413631.01,3834513.573,6089942.415,1535846.105,21541689.18,18858331.55,19763944.62,223289715,7011097.639,13362614.25,112014154.2,1154249.548,18799089.27,1507599.957,35074177.19,11944531.68,557322323.6,460949.6256,8265787.633,1340078.741,62907571.44,2705240.36,2408853.059,21331066.61,7039252.546,37773.36681,6273271.319,2979358.889,11416324.51,125052.6465,6373703.715,3183042.507,2363901.587,2276663.057,1998077.495,23284568.07,19969377.43,1702118.875,7724885.148,24706701.83,6153333.851,20853189.72,2100773.821,5163526.533,4193033.052,31558905.7,4513368.538,19616956.2,1813923.97,102127.1574,1531327.346,3249331.277,282667.1191,1802817.341,4262248.811,476753399.3,5264935.768,27436837.02,22723629.13,5078168.998,13634191.4,3891466.652,108579186.5,13714568.15,17679982.51,4646629.1,5639169.768,23268365.27,166245906.2,12516033.66,15957864.64,1492226.101,9644878.289,1777127.121,14189378.12,6206820.27,3264091.988,19540380.67,80371751.3,6559024.892,1037669.69,22797405.79,48704519.52,26486982.34,8361910.776,33616462.66,2090099.278,18757831.93,32793627,23801896.67,11892579.14,7367538.563,1631558.922,478654060.8,5464397.387,1137332.935,6350360.18,876067.8783,214672042.3,5505650.482,968645.159,18213084.57,1768087.089,14973148.2,16933263.39,131919707.2,3590356.042,11251287.6,11797064.35,113032519.7,9334723.15,2839850.616,4344364.397,5051891.881,125746248.7,31079670.72,1039643.222,6292574.247,15440670.97,14709983.58,5149978.722,14541431.2,4950301603,6921748.127,3842081.929,16696050.05,3560639.011,1880843.157,4073425.268,95917086.82,1751497.992,115139577,44826441.19,2672172.034,5044070.813,12963091.3,10079001.93,44151922.39,2295914.868,18914256.8,2557299.808,24134356.66,1029164.265,576839055.6,3194007.715,7840958.319,4969559.221,1316091.798,2290473.041,10008969.57,6085505.901,7872485.452,2592975.637,24104245.57,27006242.73,1901260.663,44183825.99,1614652.728,14385819.08,41872515.28,726422.2861,351618792.1,3062559.194,1892758.072,280069264.2,4682475.659,11344542.41,15028762.23,5852661.221,147289108.5,4349909.193,53939912.45,6557500.87,4188845.451,3359779.68,5307620.315,8779206.092,3473259.115,8179594.966,377896834.9,13730115.78,3216986.543,22591112.39,31190576.74,6737675.346,27961573.81,3216262.39,105235925.5,6966133.664,2450798.884,13308604.65,2972448.978,5520402.835,44623614.4,2574090.963,10243110.57,7188757.107,2311491.944,4597097.898,66315560.94,6734942.623,3450014.459,1724586.954,19390325.37,22139574.47,1715197.855,3157296.641,108327901.1,46889158.89,2013988.071,11856995.06,1860166.586,644667757.6,4030202.78,2167622.007,1069769169,4211852.257,125247566.5,1638512.229,1802572.246,10391817.23,2888806.672,20256525.32,1740011.893,219445377.3,31506032.71,14473972.14,9342363.5,5082935.657,16702765.98,85983589.99,3103221.151,1034453.431,21975227.04,3062658.111,8178035.091,54139467.78,23137751,22710233.13,1682700.245,334762384,8231628.03,192905860.7,2009947.189,26428520.07,26898873.32,7611690.975,18124819.93,251966757.2,65338517.82,1100521.303,142593663.5,26152303.02,6719159.058,66914815.72,4415173.315,2219464.054,15683723.38,3870993.523,102268746.2,9731179.065,8988795.12,20133403.6,659243.6927,1840891.555,2709199.436,25977193.53,2499935.405,225664466.1,28933322.77,12845225.22,3338004.766,48747373.45,1870016.423,38831547.39,2031241.54,872333.5879,4642370.877,66723282.74,12641726.65,951395.8193,2806020.68,2792345.634,4271909.502,4368510.251,3307760.689,1276234.94,16284972.76,326149324.1,3643055.743,30939651.38,199468420.1,2430425.067,2237831.588,7653497.476,4325558.437,62547333.52,8410237.915,296234590.7,55313155.19,11022189.43,23878490.05,670615.5848,6311126.159,4666721.66,4391758.161,4331190.975,2421106.538,10337081.38,15898980.01,67780619.42,6781726.9,2768359.699,17708508.12,6447856.289,22369099.88,3771868.728,2473908.478,28844611.53,114548262.4,14879442.73,20631295.27,3677790.207,51562535.69,2210722.76,1931836.196,5741920.239,5294037.679,251513639.9,37932062.92,82238039.13,467663125.7,3883604.252,44870529.83,4065345.113,9054901.568,3137582.521,49729192.49,5352693.482,8015172.421,4540914.538,18979720.9,16128740.58,889335.3002,1313453.175,14056359.12,63778325.16,21293101.95,2889553.41,7001118.971,55185446.24,36135476.97,1035150002,6355408.915,14592219.13,1991917.21,15644452.15,22922877.97,1150296701,22183957.94,5693701.613,7063866.771,47638346.12,48029859.52,3260813.136,26363456.31,10177984.76,5674850.094,141348478.2,3390937691,182574750.8,6237680.927,1003780950,9401012.179,121740661.7,81410665.85,2231682.611,2710518.528,10943862.01,13706372.53,3141429.184,9090510.891,19229517.98,4850863.009,14076851.69,2624600.12,68887784.88,6178727.002,101646638.3,13890624.02,29879683.46,5881666.389,44075834.47,533052830.5,15332395.69,3045612.297,1395035.731,7943277.93,415360005.2,9835760.45,263694423.3,2380438.168,22675515.62,4425781582,107668684.8,29709990.22,14383310.4,26003983.09,4320292.425,2332181.57,5083683.36,6330273.529,4437494.284,3525626.344,14412154.63,6082061.897,1746018.148,6559386.487,9567451.114,6071796.322,2335844.984,92328021,36533360.71,10107554.76,71212357.68,2124970.26,6458066.93,1477753.038,1930714.251,17063398.47,20155447.05,39128164.24,59918110.51,1966127.278,7168592.134,11970734.79,7953357.561,925524.757,5809108.313,35901620.98,462418565.7,124045854.2,5532298.94,7376453.811,10530572.91,1688588.32,766085.1297,23356509.89,643040.5415,505598799.3,252926616.4,37362923.62,1571214.986,23158638.09,3515115.363,1443248.254,9116900.481,95050167.78,1881809.649,12705938.25,2350225.331,110959402,3070141.537,7257230.397,4221914.458,8777414.984,1491763.497,836483.4272,108049455.9,47478719.54,1818359.299,702770.4038,8086285.73,22129113.23,3769893.131,2065938.487,5025849.467,34501413.24,213920283.2,5058439.694,1130841195,7886385.284,1309072.022,14555814.55,573524391.6,4704254.762,49271955.96,23993896.75,4029983.924,298357839.7,25489171.5,8386341.802,13331471.28,152383335.3,57339488.63,6101227.184,101834928.1,6157877.674,13580315.97,72269721.1,23900309,7773453.871,1211480.459,902495.8759,3144002.99,167569661,2778035.357,6553575.885,3769914.054,99104531.33,4280464.189,14754417.1,314440039.6,19380699.72,24982951.95,8462430.497,34111155.85,1586780.259,14559676.49,3079600.512,4619929.344,9809542.215,8991475.397,132519216.5,5814250.25,6484206111,348472285.8,6265324.244,6229796.222,3007393.54,1531695.508,48545974.5,16449924.71,5415509209,259688320.3,6503088.407,4765097.51,2624145.282,8572381.747,26687348.27,6497073820,4584281.729,11006628.48,12211726.73,32548305.6,3177842.473,10876977.76,12490854.78,22087070.92,7144433.871,7952629.354,32366538.81,6714891.47,884582.9157,8674360.72,858052.7396,29900223.48,25597226.43,7226655.968,2929807.727,56327208.64,50548500.21,4015709.023,5324087.168,150426712.8,3418418.537,2032343.636,19257583.72,11976138.61,3358201.349,1612588.119,21456974.76,18123785.14,7759493.135,134547754.4,58874421.26,1917021.284,194827320.7,21346026.4,16199056.43,4521392.941,82504823.52,52884890.58,1235427.69,2158421.392,1929588.015,489508859.8,10930689.73,1353109.21,1722535.301,2506659.663,145160828.7,6331655.369,5588974.98,406421474.2,1866036.294,6060314.931,125715649.8,20557004.94,8913352.554,9894965.684,1975952525,43836085.12,4615934.251,112625800.5,15670257.83,9736985.95,233924.7893,8480389.497,13432877.53,40077150.01,3331959.068,4057744.956,57111742.29,11572585.4,6535252.804,9325234.967,10348354.09,7556420.116,42350545.06,7480495.103,12941171.31,13798074.59,539853.26,8005349.549,32468930.41,20137119.74,19423947.8,23356396.18,2547735.9,11884716.5,12765255.92,8844041.051,7607668.522,1142186.923,2998223.166,1267348.599,14101411.62,1542126.683,8612696.984,9048350.832,24073639.33,152779438.4,17558363.48,142320197.1,819903182.3,27204563.85,2615006.333,15282683.08,4172256.695,409992313.4,1004118321,4016606.069,892385.1637,27029829.37,34378358.59,5153165.126,1619639.624,7670834.131,16172737.94,16292647.83,4398579.371,46534025,104307970.9,35028152.5,37785066.93,15116096.59,22382077.69,17041613.06,15076572.28,10342239.32,3732462.973,1077264475,1739920.193,10235535.02,67574838.5,2668851.124,1952850.068,13004112.8,32245266.58,55918873.85,400491834.5,6475018.372,704171465.1,29008951.52,10513125.31,20478631.2,8216487.913,12992115.18,121229455.9,68884979.53,2811932397,5423172.538,14052654.9,7467252.987,23944607.25,9291170.332,2577924.699,2527074.014,2318165.701,2274050.376,8805916.784,13297954.43,3827913.204,3756061.968,13863518.09,220725331.2,20006825.49,5373319.215,16333064,33865019.52,82260821.74,12024194.17,1997187.937,21941969.64,5969651.085,16944456.6,5510067.531,10431625.66,3961385.458,3263565.137,4179983.982,3364160.929,1685602.626,17621919.23,23598818.81,36641203.63,92117241.24,11535026.54,3472657.943,12863716.42,30156565.65,15176801.1,3346952.979,539902.1754,4381817.888,33155914.35,3738548.07,2132674.317,9672963.903,18981345.5,7022645.141,2263044.657,458066463.8,5753367.131,2377854.24,49730919.9,2756122.677,45763929.86,2412209.326,317700330.1,4416190.843,44167515.21,1663676.229,12916263.42,485944.1574,15807795.7,4160021.016,5196796.573,42777138.25,1957019.266,23424850.38,5581897.166,21537430.96,12107531.71,9509325.412,13884021.74,726209.6319,73988746.59,1694578.553,5090643.249,61741567.2,6663016.74,6759151.61,25307303.13,9284615.553,1377519.3
